Running on Cartesius 

[1;31mtime	Tue Jan 13 23:18:46 CET 2015[0;39m
poly4_4.m-P8	8	545	481	40	0.022383	0.012179	0.010081	0.000123	0.002909	0.007145	0.000027
poly4_4.m-P16	16	545	481	40	0.025251	0.010221	0.014867	0.000163	0.003967	0.010874	0.000026
poly4_4.m-P32	32	545	481	40	0.145581	0.051008	0.093854	0.000719	0.022831	0.070992	0.000031
poly4_4.m-P64	64	545	481	40	0.191507	0.071740	0.118576	0.001191	0.024529	0.094015	0.000033
poly4_5.m-P1	1	2113	1985	83	0.027697	0.017075	0.010545	0.000077	0.007312	0.002779	0.000453
poly4_5.m-P2	2	2113	1985	83	0.023492	0.009389	0.013963	0.000140	0.007127	0.006585	0.000251
poly4_5.m-P4	4	2113	1985	83	0.024776	0.008454	0.016165	0.000157	0.006466	0.009558	0.000142
poly4_5.m-P8	8	2113	1985	83	0.038866	0.015757	0.022901	0.000208	0.007471	0.015316	0.000114
poly4_5.m-P16	16	2113	1985	83	0.041124	0.008051	0.032787	0.000286	0.009262	0.023450	0.000076
poly4_5.m-P32	32	2113	1985	83	0.349720	0.162573	0.186306	0.000841	0.047676	0.138549	0.000080
poly4_5.m-P64	64	2113	1985	83	0.932681	0.680591	0.250959	0.001131	0.062662	0.188234	0.000063
poly4_6.m-P1	1	8321	8065	168	0.120975	0.045750	0.074931	0.000294	0.057288	0.013650	0.003992
poly4_6.m-P2	2	8321	8065	168	0.097086	0.037345	0.059341	0.000400	0.039153	0.018113	0.002075
poly4_6.m-P4	4	8321	8065	168	0.079815	0.031047	0.048351	0.000417	0.025877	0.021426	0.001048
poly4_6.m-P8	8	8321	8065	168	0.094088	0.036071	0.057543	0.000474	0.024264	0.032775	0.000504
poly4_6.m-P16	16	8321	8065	168	0.119499	0.046910	0.072025	0.000564	0.024228	0.047472	0.000325
poly4_6.m-P32	32	8321	8065	168	0.537612	0.178971	0.357482	0.001159	0.076540	0.280706	0.000236
poly4_6.m-P64	64	8321	8065	168	1.195270	0.682099	0.511487	0.001684	0.130474	0.380814	0.000199
poly5_1.m-P1	1	16	6	3	0.010341	0.010255	0.000075	0.000011	0.000018	0.000056	0.000001
poly5_1.m-P2	2	16	6	3	0.002080	0.001518	0.000517	0.000045	0.000084	0.000426	0.000007
poly5_1.m-P4	4	16	6	3	0.006580	0.006084	0.000443	0.000053	0.000116	0.000325	0.000002
poly5_2.m-P1	1	51	31	10	0.001952	0.001681	0.000259	0.000012	0.000077	0.000179	0.000004
poly5_2.m-P2	2	51	31	10	0.011232	0.010181	0.001014	0.000037	0.000260	0.000745	0.000009
poly5_3.m-P1	1	181	141	25	0.007774	0.006902	0.000856	0.000016	0.000319	0.000519	0.000018
poly5_3.m-P2	2	181	141	25	0.014697	0.012157	0.002498	0.000042	0.000784	0.001696	0.000018
poly5_3.m-P4	4	181	141	25	0.013394	0.009332	0.003999	0.000063	0.001207	0.002773	0.000019
poly5_3.m-P8	8	181	141	25	0.014586	0.007873	0.006599	0.000114	0.001799	0.004776	0.000024
poly5_4.m-P1	1	681	601	49	0.014108	0.011324	0.002752	0.000032	0.001536	0.001117	0.000099
poly5_4.m-P2	2	681	601	49	0.018379	0.012507	0.005799	0.000073	0.002255	0.003477	0.000067
poly5_4.m-P4	4	681	601	49	0.018194	0.009989	0.008118	0.000087	0.002617	0.005456	0.000045
poly5_4.m-P8	8	681	601	49	0.023730	0.010927	0.012675	0.000128	0.003714	0.008914	0.000047
poly5_4.m-P16	16	681	601	49	0.030482	0.011605	0.018705	0.000172	0.004985	0.013676	0.000043
poly5_4.m-P32	32	681	601	49	0.164825	0.052453	0.111649	0.000723	0.027924	0.083684	0.000040
poly5_5.m-P1	1	2641	2481	100	0.028222	0.012595	0.015532	0.000095	0.010974	0.003866	0.000692
poly5_5.m-P2	2	2641	2481	100	0.038709	0.020439	0.018109	0.000161	0.009825	0.007947	0.000337
poly5_5.m-P4	4	2641	2481	100	0.037128	0.016756	0.020193	0.000179	0.008431	0.011543	0.000218
poly5_5.m-P8	8	2641	2481	100	0.038385	0.009457	0.028710	0.000218	0.009697	0.018865	0.000149
poly5_5.m-P16	16	2641	2481	100	0.048916	0.009694	0.038916	0.000306	0.011329	0.027481	0.000106
poly5_5.m-P32	32	2641	2481	100	0.381137	0.154696	0.225584	0.000857	0.057585	0.167882	0.000117
poly5_5.m-P64	64	2641	2481	100	1.962978	1.660761	0.301026	0.001191	0.075353	0.225595	0.000077
poly5_6.m-P1	1	10401	10081	183	0.155729	0.054860	0.100513	0.000356	0.077262	0.017824	0.005427
poly5_6.m-P2	2	10401	10081	183	0.124845	0.046341	0.078052	0.000452	0.053276	0.021587	0.003190
