Running on Cartesius 

[1;31mtime	Thu Jan 15 03:23:06 CET 2015[0;39m
poly5_8.m-P4	4	164481	163201	1012	3.234551	0.470873	2.757154	0.006524	2.149780	0.495859	0.111515
poly5_8.m-P8	8	164481	163201	1012	2.146261	0.427743	1.712661	0.005857	1.262994	0.401154	0.048514
poly5_8.m-P16	16	164481	163201	1012	1.656609	0.406147	1.244127	0.006335	0.783930	0.429961	0.030236
poly5_8.m-P32	32	164481	163201	1012	3.203103	0.548762	2.646697	0.007644	0.838048	1.798279	0.010370
poly5_8.m-P64	64	164481	163201	1012	4.337719	1.013028	3.315631	0.009060	0.852354	2.453456	0.009820
poly5_9.m-P1	1	656641	654081	2158	77.338994	3.063222	74.246838	0.028934	58.800835	10.138993	5.307010
poly5_9.m-P2	2	656641	654081	2158	43.922776	2.452978	41.439207	0.030591	33.021675	5.793991	2.623541
poly5_9.m-P4	4	656641	654081	2158	23.314793	2.005730	21.282269	0.026794	16.912173	3.064806	1.305290
poly5_9.m-P8	8	656641	654081	2158	13.649742	1.780864	11.845264	0.023614	9.195690	1.968536	0.681038
poly5_9.m-P16	16	656641	654081	2158	8.836335	1.682214	7.131169	0.022952	5.168323	1.609903	0.352942
poly5_9.m-P32	32	656641	654081	2158	10.120333	1.777713	8.317872	0.024748	3.768251	4.428808	0.120813
poly5_9.m-P64	64	656641	654081	2158	13.683177	2.235079	11.422303	0.025795	4.649234	6.706401	0.066668
lshaped_10.m-P1	1	2100225	2094081	6710	775.333187	9.968271	765.268328	0.096588	588.837363	101.706186	74.724779
lshaped_10.m-P2	2	2100225	2094081	6710	420.015935	7.538312	412.366324	0.111299	319.164989	55.212896	37.988440
lshaped_10.m-P4	4	2100225	2094081	6710	218.211694	6.297921	211.823904	0.089869	168.433970	31.412147	11.977787
lshaped_10.m-P8	8	2100225	2094081	6710	115.967704	5.647392	110.233464	0.086848	85.854896	15.649494	8.729074
lshaped_10.m-P16	16	2100225	2094081	6710	70.137389	5.400523	64.656001	0.080865	47.871424	10.807341	5.977236
