6
0.5,-0.5,0,0,1.632993161855452,-1.632993161855452
-0.5,0.5,0,0,-1.632993161855452,1.632993161855452
0,0,0,0,0,0
0,0,0,8,0,0
1.632993161855452,-1.632993161855452,0,0,8,-8
-1.632993161855452,1.632993161855452,0,0,-8,8

1,-0.5,-0.5,-1.632993161855452,3.265986323710904,-1.632993161855452
-0.5,0,0.5,1.632993161855452,-1.632993161855452,0
-0.5,0.5,0,0,-1.632993161855452,1.632993161855452
-1.632993161855452,1.632993161855452,0,8,-8,8
3.265986323710904,-1.632993161855452,-1.632993161855452,-8,8,-8
-1.632993161855452,0,1.632993161855452,8,-8,8

0.5,0,-0.5,-1.632993161855452,1.632993161855452,0
0,0,0,0,0,0
-0.5,0,0.5,1.632993161855452,-1.632993161855452,0
-1.632993161855452,0,1.632993161855452,8,-8,0
1.632993161855452,0,-1.632993161855452,-8,8,0
0,0,0,0,0,8

1 - y - x,x,y,4*6^(1/2)*x*(x + y - 1),-4*6^(1/2)*x*y,4*6^(1/2)*y*(x + y - 1)
