Running on Cartesius 

[1;31mtime	Thu Jan  8 12:19:22 CET 2015[0;39m
mat_name\tp\tn\tk\ttime_init\ttime_mv\ttime_ip\ttime_done\ttime_total
randmat_128_0_2.mtx-P8	8	128	12	0.005364	0.001435	0.002271	0.009076	0.009138
randmat_128_0_2.mtx-P16	16	128	12	0.007196	0.001941	0.003357	0.012502	0.012596
randmat_128_0_2.mtx-P32	32	128	12	0.066262	0.012683	0.019838	0.098787	0.099328
randmat_256_0_01.mtx-P1	1	256	15	0.002396	0.000700	0.000548	0.003661	0.003676
randmat_256_0_01.mtx-P2	2	256	15	0.002746	0.001108	0.001304	0.005168	0.005203
randmat_256_0_01.mtx-P4	4	256	15	0.003001	0.001188	0.001807	0.006006	0.006047
randmat_256_0_01.mtx-P8	8	256	15	0.003578	0.001990	0.002998	0.008572	0.008640
randmat_256_0_01.mtx-P16	16	256	15	0.005083	0.002464	0.004200	0.011760	0.011857
randmat_256_0_01.mtx-P32	32	256	15	0.066282	0.015271	0.024682	0.106250	0.106867
randmat_256_0_02.mtx-P1	1	256	15	0.002872	0.000757	0.000372	0.004031	0.004047
randmat_256_0_02.mtx-P2	2	256	15	0.003395	0.000994	0.001226	0.005625	0.005663
randmat_256_0_02.mtx-P4	4	256	15	0.003538	0.001194	0.001925	0.006674	0.006736
randmat_256_0_02.mtx-P8	8	256	15	0.004513	0.001672	0.002899	0.009090	0.009155
randmat_256_0_02.mtx-P16	16	256	15	0.005936	0.002481	0.004202	0.012626	0.012723
randmat_256_0_02.mtx-P32	32	256	15	0.065926	0.013674	0.025822	0.105435	0.106057
randmat_256_0_02.mtx-P64	64	256	15	0.107646	0.020093	0.033627	0.161373	0.162123
randmat_256_0_03.mtx-P1	1	256	13	0.003501	0.000519	0.000262	0.004300	0.004315
randmat_256_0_03.mtx-P2	2	256	13	0.003831	0.000888	0.001021	0.005751	0.005801
randmat_256_0_03.mtx-P4	4	256	13	0.003914	0.001023	0.001597	0.006545	0.006746
randmat_256_0_03.mtx-P8	8	256	13	0.004804	0.001528	0.002547	0.008884	0.008951
randmat_256_0_03.mtx-P16	16	256	13	0.006538	0.002201	0.003617	0.012362	0.012478
randmat_256_0_03.mtx-P32	32	256	13	0.066965	0.013681	0.021430	0.102089	0.102668
randmat_256_0_04.mtx-P1	1	256	12	0.003945	0.000503	0.000271	0.004731	0.004746
randmat_256_0_04.mtx-P2	2	256	12	0.004287	0.000812	0.000983	0.006098	0.006145
randmat_256_0_04.mtx-P4	4	256	12	0.004443	0.001123	0.001385	0.006960	0.007001
randmat_256_0_04.mtx-P8	8	256	12	0.005207	0.001376	0.002413	0.009002	0.009119
randmat_256_0_04.mtx-P16	16	256	12	0.006715	0.002055	0.003298	0.012074	0.012169
