Timing for niters=300 maxh=800
p= 1, r= 10246.443 Mflop/s, g= 247.9, l= 14565.2
p= 2, r= 9811.206 Mflop/s, g= 317.7, l= 60430.4
p= 3, r= 10262.403 Mflop/s, g= 312.9, l= 103156.2
p= 4, r= 9973.911 Mflop/s, g= 305.3, l= 98975.0
p= 5, r= 10295.166 Mflop/s, g= 333.5, l= 139104.2
p= 6, r= 10398.579 Mflop/s, g= 334.7, l= 159518.5
p= 7, r= 10156.794 Mflop/s, g= 334.4, l= 171787.4
p= 8, r= 10135.999 Mflop/s, g= 332.4, l= 174379.4
p= 9, r= 10394.668 Mflop/s, g= 346.6, l= 172828.2
p= 10, r= 10272.682 Mflop/s, g= 350.5, l= 168523.0
p= 11, r= 10442.887 Mflop/s, g= 344.3, l= 194678.8
p= 12, r= 10426.179 Mflop/s, g= 353.1, l= 191111.4
p= 13, r= 10454.487 Mflop/s, g= 354.5, l= 217103.5
p= 14, r= 10437.795 Mflop/s, g= 360.5, l= 217816.0
p= 15, r= 10429.007 Mflop/s, g= 362.8, l= 234529.6
p= 16, r= 10196.706 Mflop/s, g= 350.5, l= 235593.1
p= 17, r= 10310.692 Mflop/s, g= 363.5, l= 269497.9
p= 18, r= 10346.221 Mflop/s, g= 365.8, l= 272494.4
p= 19, r= 10464.524 Mflop/s, g= 403.8, l= 284707.8
p= 20, r= 10430.078 Mflop/s, g= 383.8, l= 285804.6
p= 21, r= 10424.160 Mflop/s, g= 391.4, l= 304148.6
p= 22, r= 10443.860 Mflop/s, g= 392.2, l= 303180.3
p= 23, r= 10231.019 Mflop/s, g= 490.3, l= 419494.3
p= 24, r= 10437.675 Mflop/s, g= 594.9, l= 617840.8
p= 25, r= 10443.435 Mflop/s, g= 819.3, l= 783519.5
p= 26, r= 10191.622 Mflop/s, g= 793.6, l= 942100.2
p= 27, r= 10428.531 Mflop/s, g= 897.9, l= 1144055.4
p= 28, r= 10266.955 Mflop/s, g= 973.7, l= 1304229.5
p= 29, r= 10386.364 Mflop/s, g= 1078.4, l= 1533027.0
p= 30, r= 10445.989 Mflop/s, g= 1148.9, l= 1691876.0
p= 31, r= 10444.202 Mflop/s, g= 1196.9, l= 1908888.1
p= 32, r= 10397.874 Mflop/s, g= 1067.7, l= 2668094.8
p= 33, r= 10354.721 Mflop/s, g= 1269.6, l= 2683281.2
p= 34, r= 10379.009 Mflop/s, g= 1399.3, l= 2669230.9
p= 35, r= 10250.950 Mflop/s, g= 1344.9, l= 2740610.0
p= 36, r= 10430.301 Mflop/s, g= 1344.7, l= 2789854.9
p= 37, r= 10425.783 Mflop/s, g= 1122.9, l= 2931639.6
p= 38, r= 10438.292 Mflop/s, g= 901.8, l= 3028501.1
p= 39, r= 10333.386 Mflop/s, g= 1282.5, l= 2981587.8
p= 40, r= 10440.681 Mflop/s, g= 1861.7, l= 2788720.3
p= 41, r= 10428.091 Mflop/s, g= 2334.6, l= 2742167.9
p= 42, r= 10437.787 Mflop/s, g= 2919.2, l= 2555285.8
p= 43, r= 10253.669 Mflop/s, g= 3441.7, l= 2382276.1
p= 44, r= 10307.777 Mflop/s, g= 3202.6, l= 2929898.0
p= 45, r= 10200.622 Mflop/s, g= 674.2, l= 3547362.4
p= 46, r= 10436.483 Mflop/s, g= 129.9, l= 3802976.3
p= 47, r= 10368.212 Mflop/s, g= -109.0, l= 3890979.1
srun: error: tcn9: task 43: Segmentation fault (core dumped)
srun: Terminating job step 1116428.46
p= 48, r= 10430.784 Mflop/s, g= 10.1, l= 3899905.2
p= 49, r= 10429.349 Mflop/s, g= 75.8, l= 3970417.2
p= 50, r= 10328.977 Mflop/s, g= 416.9, l= 3850110.6
p= 51, r= 10432.830 Mflop/s, g= 563.1, l= 3894474.3
p= 52, r= 10305.237 Mflop/s, g= 758.4, l= 3822190.9
p= 53, r= 10431.642 Mflop/s, g= 1037.3, l= 3859223.2
p= 54, r= 10431.685 Mflop/s, g= 1306.6, l= 3888709.8
p= 55, r= 10301.057 Mflop/s, g= 1749.3, l= 3695689.6
p= 56, r= 10436.672 Mflop/s, g= 2131.3, l= 3705362.1
p= 57, r= 10438.837 Mflop/s, g= 2600.6, l= 3604376.0
p= 58, r= 10442.030 Mflop/s, g= 2996.4, l= 3485954.5
p= 59, r= 10368.535 Mflop/s, g= 3457.8, l= 3317613.7
p= 60, r= 10431.134 Mflop/s, g= 3941.6, l= 3204375.0
p= 61, r= 10366.876 Mflop/s, g= 4438.5, l= 3032995.9
p= 62, r= 10363.626 Mflop/s, g= 4958.6, l= 2848433.3
p= 63, r= 10429.548 Mflop/s, g= 5127.4, l= 2814674.8
srun: Job step aborted: Waiting up to 2 seconds for job step to finish.
slurmd[tcn7]: *** JOB 1116428 CANCELLED AT 2015-01-09T23:36:13 DUE TO TIME LIMIT ***
slurmd[tcn7]: *** STEP 1116428.63 CANCELLED AT 2015-01-09T23:36:13 DUE TO TIME LIMIT ***
